timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708685152027,37,POST Users-1,200,OK,Workload Config 1-48,text,true,,1609,143,1,1,https://reqres.in/api/user,37,0,0
1708685152331,103,GET Users,200,OK,Workload Config 1-49,text,true,,1178,122,1,1,https://reqres.in/api/users/2,103,0,62
1708685152434,108,POST Users,200,OK,Workload Config 1-49,text,true,,2217,398,1,1,https://reqres.in/api/user,69,0,32
1708685152434,69,POST Users-0,301,Moved Permanently,Workload Config 1-49,,true,,608,255,1,1,http://reqres.in/api/user,69,0,32
1708685152504,38,POST Users-1,200,OK,Workload Config 1-49,text,true,,1609,143,1,1,https://reqres.in/api/user,38,0,0
1708685152833,121,GET Users,200,OK,Workload Config 1-50,text,true,,1186,122,1,1,https://reqres.in/api/users/2,121,0,81
1708685152955,120,POST Users,200,OK,Workload Config 1-50,text,true,,2213,398,1,1,https://reqres.in/api/user,79,0,35
1708685152955,79,POST Users-0,301,Moved Permanently,Workload Config 1-50,,true,,604,255,1,1,http://reqres.in/api/user,79,0,35
1708685153035,40,POST Users-1,200,OK,Workload Config 1-50,text,true,,1609,143,1,1,https://reqres.in/api/user,40,0,0
1708685153334,142,GET Users,200,OK,Workload Config 1-51,text,true,,1186,122,1,1,https://reqres.in/api/users/2,142,0,88
1708685153477,127,POST Users,200,OK,Workload Config 1-51,text,true,,2215,398,1,1,https://reqres.in/api/user,90,0,36
1708685153477,90,POST Users-0,301,Moved Permanently,Workload Config 1-51,,true,,606,255,1,1,http://reqres.in/api/user,90,0,36
1708685153567,37,POST Users-1,200,OK,Workload Config 1-51,text,true,,1609,143,1,1,https://reqres.in/api/user,37,0,0
1708685153834,160,GET Users,200,OK,Workload Config 1-52,text,true,,1186,122,1,1,https://reqres.in/api/users/2,160,0,114
1708685154334,114,GET Users,200,OK,Workload Config 1-53,text,true,,1186,122,2,2,https://reqres.in/api/users/2,114,0,68
1708685154449,110,POST Users,200,OK,Workload Config 1-53,text,true,,2215,398,2,2,https://reqres.in/api/user,73,0,34
1708685154449,73,POST Users-0,301,Moved Permanently,Workload Config 1-53,,true,,606,255,2,2,http://reqres.in/api/user,73,0,34
1708685154523,36,POST Users-1,200,OK,Workload Config 1-53,text,true,,1609,143,2,2,https://reqres.in/api/user,35,0,0
1708685154833,111,GET Users,200,OK,Workload Config 1-54,text,true,,1186,122,2,2,https://reqres.in/api/users/2,111,0,70
1708685154945,107,POST Users,200,OK,Workload Config 1-54,text,true,,2225,398,2,2,https://reqres.in/api/user,71,0,32
1708685154945,71,POST Users-0,301,Moved Permanently,Workload Config 1-54,,true,,608,255,2,2,http://reqres.in/api/user,71,0,32
1708685155016,36,POST Users-1,200,OK,Workload Config 1-54,text,true,,1617,143,2,2,https://reqres.in/api/user,36,0,0
1708685153996,1140,POST Users,200,OK,Workload Config 1-52,text,true,,2211,398,1,1,https://reqres.in/api/user,1104,0,1057
1708685153996,1104,POST Users-0,301,Moved Permanently,Workload Config 1-52,,true,,602,255,1,1,http://reqres.in/api/user,1104,0,1057
1708685155101,35,POST Users-1,200,OK,Workload Config 1-52,text,true,,1609,143,1,1,https://reqres.in/api/user,35,0,0
1708685155335,130,GET Users,200,OK,Workload Config 1-55,text,true,,1186,122,1,1,https://reqres.in/api/users/2,130,0,81
